ID,SECTION,ENUM,DESCRIPTION,SCORE,QTD,TOTAL POINTS,CHECK
1,CADASTRO,CADASTRO_CRIAR,Criou conta no sistema,5,1,5,TRUE
2,ONBOARDING,ONBOARDING_VIDEO,Assistiu vídeo onboarding,5,1,5,TRUE
3,CONTEUDOS,CONTEUDOS_ASSISTIR_AULA_MC,Assisstiu aula do modo caverna,10,10,1,TRUE
4,CONTEUDOS,CONTEUDOS_ASSISTIR_AULA_CF,Assistiu aula do Cave Focus,10,10,100,TRUE
5,CONTEUDOS,CONTEUDOS_ASSISTIR_AULA_LA,Assistiu aula do Curso Lei Da Atração,5,10,50,TRUE
6,CONTEUDOS,CONTEUDOS_ASSISTIR_AULA_GT,Assistiu aula do Curso Gestão De Tempo,5,10,50,TRUE
7,CONTEUDOS,CONTEUDOS_ASSISTIR_AULA_ESTOICISMO,Assistiu aula do Curso Estoicismo,5,10,50,TRUE
8,CONTEUDOS,CONTEUDOS_ASSISTIR_AULA_FM,Assistiu aula do Curso Fora Da Matrix,5,10,50,TRUE
9,CONTEUDOS,CONTEUDOS_FINALIZAR_MC,Finalizou Curso Modo Caverna,100,1,100,TRUE
10,CONTEUDOS,CONTEUDOS_FINALIZAR_CF,Finalizou Curso Cave Focus,100,1,100,TRUE
11,CONTEUDOS,CONTEUDOS_FINALIZAR_LA,Finalizou Curso Curso Lei Da Atração,50,1,50,TRUE
12,CONTEUDOS,CONTEUDOS_FINALIZAR_GT,Finalizou Curso Curso Gestão De Tempo,50,1,50,TRUE
13,CONTEUDOS,CONTEUDOS_FINALIZAR_ESTOICISMO,Finalizou Curso Curso Estoicismo,50,1,50,TRUE
14,CONTEUDOS,CONTEUDOS_FINALIZAR_FM,Finalizou Curso Curso Fora Da Matrix,50,1,50,TRUE
15,PERFIL,PERFIL_COMPLETO,Completou todos os campos do perfil,30,1,30,TRUE
16,CONTA,CONTA_ASSINAR_MENSAL,Assinou/Renovou o plano mensal,8,12,96,TRUE
17,CONTA,CONTA_ASSINAR_ANUAL,Assinou/Renovou o plano anual,100,1,100,TRUE
18,CONTA,CONTA_LOGIN,Efetuou login no sistema,1,365,365,TRUE
19,CONTA,CONTA_LOGIN7,Efetuou login no sistema por 7 dias consecutivos,3,1,3,TRUE
20,CONTA,CONTA_LOGIN15,Efetuou login no sistema por 15 dias consecutivos,5,1,5,TRUE
21,CONTA,CONTA_LOGIN30,Efetuou login no sistema por 30 dias consecutivos,10,1,10,TRUE
22,CONTA,CONTA_LOGIN40,Efetuou login no sistema por 40 dias consecutivos,20,1,20,TRUE
23,DESAFIO,DESAFIO_CRIAR,Criou Desafio Caverna,10,5,50,TRUE
24,DESAFIO,DESAFIO_ABANDONAR,Abandonou Desafio Caverna,-20,1,-20,TRUE
25,DESAFIO,DESAFIO_REGISTRAR,Registrou avaliação diária no Desafio Caverna,1,60,60,TRUE
26,DESAFIO,DESAFIO_NAOREGISTRAR,Não registrou avaliação Desafio Caverna,-2,50,-100,TRUE
27,DESAFIO,DESAFIO_MANDAMENTO*,Concluiu um Mandamento Caverna,5,30,150,TRUE
28,DESAFIO,DESAFIO_FINALIZAR,Finalizou Desafio Caverna,100,4,400,TRUE
29,FLOW,FLOW_COMPLETOU_CHECKLIST,Completou checklist do Flow,5,50,250,TRUE
30,FLOW,FLOW_POMODORO*,Finalizou sessão de produtividade,5,100,500,FALSE
31,COMPROMISSOS,COMPROMISSOS_GOOGLE,Conectou conta Google pela primeira vez,5,6,30,TRUE
32,FINANCEIRO,FINANCEIRO_CRIAR_CARTEIRA,Criou uma carteira,5,4,20,TRUE
33,FINANCEIRO,FINANCEIRO_CRIAR_RECEITA,Adicionou uma receita,5,45,225,TRUE
34,FINANCEIRO,FINANCEIRO_CRIAR_DESPESA,Adicionou uma despesa,5,35,175,TRUE
35,CONHECIMENTO ,CONHECIMENTO_ADICIONAR_VIDEO,Adicionou um vídeo em conhecimento,5,1,5,TRUE
36,CONHECIMENTO ,CONHECIMENTO_ADICIONAR_LIVRO,Adicionou um livro em conhecimento,5,5,25,TRUE
37,CONHECIMENTO ,CONHECIMENTO_ADICIONAR_CURSO,Adicionou um curso em conhecimento,5,3,15,TRUE
38,CONHECIMENTO ,CONHECIMENTO_CONCLUIR_VIDEO,Concluiu um vídeo em conhecimento,5,7,35,TRUE
39,CONHECIMENTO ,CONHECIMENTO_CONCLUIR_LIVRO,Concluiu um livro em conhecimento,5,6,30,TRUE
40,CONHECIMENTO ,CONHECIMENTO_CONCLUIR_CURSO,Concluiu um curso em conhecimento,5,4,20,TRUE
41,METAS,METAS_CARTA,Criou carta para o futuro,5,3,15,FALSE
42,METAS,METAS_CONCLUIR_OBJETIVOS,Concluiu um objetivo,5,4,20,FALSE
43,METAS,METAS_CONCLUIR_METAS,Concluiu uma meta,5,12,60,FALSE
44,INDIQUE,INDIQUE_INSERIR_CODIGO,Inseriu um código,10,1,10,TRUE
45,INDIQUE,INDIQUE_ASSISTIR_AULA,Assistiu uma aula no indique e ganhe,5,9,45,TRUE
46,INDIQUE,INDIQUE_CONCLUIR_MODULO,Concluiu um módulo no Indique e ganhe,20,6,120,TRUE
47,INDIQUE,INDIQUE_PLACA5,Chegou a 5k de comissão,40,1,40,FALSE
48,INDIQUE,INDIQUE_PLACA10,Alcançou 10k em vendas,75,0,0,FALSE
49,INDIQUE,INDIQUE_PLACA100,Alcançou 100k em vendas,100,0,0,FALSE
50,COMUNIDADE,COMUNIDADE_CRIAR_POST,Criou nova publicação na Comunidade Alcateia,5,1,5,TRUE
51,COMUNIDADE,COMUNIDADE_COMENTAR_POST,Comentou em uma publicação na Comunidade Alcateia,2,50,100,TRUE
52,COMUNIDADE,COMUNIDADE_CURTIR_POST,Curtiu uma publicação na Comunidade Alcateia,2,100,200,TRUE
53,COMUNIDADE,COMUNIDADE_TOP5,Alcançou TOP5 ,10,3,30,TRUE
54,COMUNIDADE,COMUNIDADE_POST_COMENTADO,Recebeu um comentário em publicação na Comunidade Alcateia,2,200,400,TRUE
55,COMUNIDADE,COMUNIDADE_POST_CURTIDO,Recebeu uma curtida em publicação na Comunidade Alcateia,2,300,600,TRUE
,,,,TOTAL,,4855,
,,,,Eventos feitos,,48,
